Unique_ID,Name,Est,Dis1,Re1,Dis2,Re2,Dis3,Re3,Dis4,Re4,County,AltCounty1,AltCounty2,FormerName1,NameChangeDate1,FormerName2,NameChangeDate2,FormerName3,NameChangeDate3,FormerName4,NameChangeDate4,FirstRecentNameChange_OrAlternate,SecondMostRecent_OrAlternate,ThirdMostRecent_OrAlternate,GeocodeLocator,GeocodeStatus,GeocodeScore,GeocodeMatchFull\,GeocodeName,GeocodeCounty,Latitude,Longitude
,IAQUA,1880,1920,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,40.6434688,-123.9083829
,NAVAJOE,1878,1879,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,SILVERBOW,1869,1984,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.9929813,-112.6772515
,COARSEGOLD,1899,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,37.2621687,-119.7009834
,OTTER,1892,1912,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,PENN,1882,1883,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,IONE,1880,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.3916667,-120.9505556
,BEAN,1881,1881,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,SKIDMORE,1884,1885,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,37.2855796,-100.3401456
,ROUSE'S POINT,1877,1880,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,NEW LIBERTY,1876,1884,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,40.4774818,-104.9013617
,HUMPHREY,1901,1951,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,44.4882465,-112.2336082
,LOMPOC,1875,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,34.6394277,-120.4673859
,GAZELLE,1893,1903,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,MORSEVILLE,1880,1880,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,WASHOE,1873,1898,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,44.0543304,-116.9482156
,SILT,1898,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.5485917,-107.6561707
,LAMAR,1886,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,38.0868592,-102.6207553
,SALMON,1891,1910,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.3676192,-122.024526
,ACHILLES,1879,1951,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,39.7119477,-100.8362626
,WICK,1884,1886,,,,,,,,,,,,,,,,,,,,,,,Unmatched,,,,,,
,ROOSTER ROCK,1876,1887,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.540953,-122.2531459
,PLACERVILLE,1863,1967,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,43.9432267,-115.94706
,PEAK,1874,1876,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,45.5359464,-123.1687204
,PETERS,1902,1904,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,48.2455344,-110.5646665
,PASO ROBLES,1870,,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,35.6266369,-120.6910043
,LONETREE,1888,1985,,,,,,,,,,,,,,,,,,,,,,,Matched,,,,,41.054395,-110.1540419
